Fecha,SIMEVEC,VITROA,ALPEKA,AUTLANB,CEMEX,ELEMENT,GCC,GMEXICOB,PAPPEL,PEÑOLES
30.10.2020,-0.004521015,0.027001439,0.009502764,0,0.037213596,-0.001784122,0.029163786,-0.005627291,-0.003231021,0.005045869
29.10.2020,-0.00928943,0.02607224,0.007026538,-0.008048333,0.008328424,0.019802627,-0.035603079,-0.010017327,-0.039172993,-0.0264286
28.10.2020,0.000308261,-0.0268889,-0.028437935,-0.016890615,0.012019375,-0.001816531,0.012166739,-0.024054756,-0.025675654,-0.026905401
27.10.2020,-0.002002003,0.020202707,-0.017295057,-0.019512814,-0.025075941,0,-0.007411263,0.023238096,0.012637659,0.024589647
26.10.2020,0.047252885,-0.020202707,-0.018204386,-0.033257222,-0.021004273,0,-0.001120972,-0.027535755,0.165599228,-0.011041575
23.10.2020,0.049596941,0.00737406,0.002408189,0.012223942,-0.020572154,0,-0.001679105,0.017302578,-0.041377704,0.00300709
22.10.2020,-0.009782503,0.032597955,0.037462164,0.012375217,-0.005640173,0,0.003361034,0.001455487,0.375906306,-0.026213004
21.10.2020,0.049722119,0.009818649,0.00376176,0,0.00790518,0,0.000280597,0.027898101,0.005061331,0.025610863
20.10.2020,-0.020601287,-0.005134799,0.008199352,-0.007633625,0.02992168,0,-0.007270048,0.027500679,0.058261102,-0.01969808
19.10.2020,0.036425246,0.018523037,-0.005683628,-0.029964789,-0.015072749,0,-0.002874764,-0.004096967,-0.030558499,0.015607392
16.10.2020,0,-0.037128224,0.017789542,0.022388995,-0.009163867,0,-0.000740535,0.002217107,0.009272391,-0.035173022
15.10.2020,0.005390849,0.003777549,-0.02093321,-0.018692133,0.034806298,0,0.009669996,0,0.003245439,0.009303681
14.10.2020,-0.008611463,0.005481776,-0.006881479,-0.013793322,0.025105921,-0.006331998,-0.0083737,-0.005618471,0.004479747,0.025070323
13.10.2020,0.03619564,-0.010096846,-0.02402333,0.000913659,-0.014423327,0.006331998,0.004085049,0.01539808,0,-0.043728455
12.10.2020,0.00557208,-0.000418498,0.007943824,0.006419096,-0.024750822,0.001816531,0.003634843,-0.011144565,-0.007725186,0.036990785
09.10.2020,0.003545111,0.00083717,0.007389196,-0.002756088,-0.013873055,-0.01712525,-9.33663E-05,-0.005271673,0.00365186,-0.028132311
08.10.2020,0.028630262,0.003355708,0.035864177,-0.012762252,0.03743127,-0.008896856,0.01552461,0.029431605,0.006934558,0.042314113
07.10.2020,0.030068646,0.000420256,0.019405525,0.003629768,0.005977304,-0.018429657,0.021759785,0.038822539,0.005335535,0.007239407
06.10.2020,-0.012410284,0.008018612,-0.003911348,0,-0.011919092,0.026433257,-0.00541221,0.008937588,-0.019156893,-0.010137752
05.10.2020,0.033645057,-0.01971954,0.005872774,0,0.031290158,0.018018506,0.002315933,0.004406911,0.004856343,0.008200187
02.10.2020,0.029380644,0,0.003934431,0.014652277,0.003674223,-0.018018506,0.002514995,0.002395211,0.005695703,0.000433457
01.10.2020,-0.061458303,-0.037909573,-0.011757157,-0.000922084,-0.027829987,0,0.002133024,-0.036940648,0.002450982,-0.032166807
30.09.2020,0.058543456,0.037079008,0.012414403,0.013921339,0.029057734,0.00896867,0.022775108,0.022836558,0.014418375,0.027524153
29.09.2020,-0.018946201,0.024796395,-0.044366003,-0.008376038,-0.019465335,0.009049836,-9.92901E-05,-0.00127238,-0.000829531,0.041890634
28.09.2020,0.031498667,0.014142083,0.015209419,0.000927214,0.038064755,0,0.019348005,0.00018167,0.004570962,0.00384743
25.09.2020,0,0.001727862,0.022603481,0.022515022,0.013862856,-0.001816531,-0.001213961,0.000363438,-0.01077061,0.030392458
24.09.2020,0.018271169,0.022296006,0.013149433,0.003802286,-0.012610508,-0.033901552,0.016514137,0.011884224,0.01077061,-0.00074481
23.09.2020,0.034907558,-0.018397365,-0.01510702,0,-0.001252348,0.017699577,-0.000308309,-0.028109567,0.366060194,-0.005013007
22.09.2020,-0.009941538,-0.00778214,0.034486176,-0.008534902,0.021506205,0.059787918,0.034922524,0.014046692,0.144487806,0.021370668
21.09.2020,-0.00373012,0,-0.017391743,0.008534902,-0.041333373,-0.058894662,0.018471316,-0.020641494,0.024588524,-0.008259189
18.09.2020,-0.002624673,0.022649052,-0.010554188,0,0.001227747,0.063645265,-0.060152698,-0.032680934,-0.031504181,-0.010670003
17.09.2020,0.011865663,0.001763669,-0.025268594,-0.008534902,-0.035006592,0.035873939,-0.024697591,-0.002232719,0.001379311,-0.025327864
15.09.2020,0.027792017,-0.005720588,-0.010817796,0.009487737,0.015541257,0.000987654,0.00269206,-0.006838803,-0.006877606,-0.002049366
14.09.2020,-0.024249055,0.003516487,0.003169575,-0.018886303,0.031826432,0.032131278,0.006912816,-0.012361515,-0.043587188,-0.044458308
11.09.2020,0.01542447,-0.007020652,-0.010735815,0.017933468,0.066862945,0.01542447,0.00291971,0.013554935,0.011881328,-0.004912321
10.09.2020,-0.025357231,0.000874891,-0.022975242,-0.009478744,0.083150368,0.004153692,-0.023122417,0.001365654,-0.00595831,-0.038260257
09.09.2020,0.018621686,0.003946508,0.001843318,-0.018692133,0.016023649,0.03386567,0.009602608,0.015667016,-0.009852296,0.007585861
