Fecha,Precio,Rt,,
20/04/2021,60.67,-0.009351229,,
21/04/2021,59.39,-0.02132348,,
22/04/2021,59.28,-0.001853881,,
23/04/2021,59.86,0.009736521,,
26/04/2021,59.65,-0.003514354,,
27/04/2021,60.48,0.013818583,,
28/04/2021,61.29,0.013303966,,
29/04/2021,62.57,0.020669233,,
30/04/2021,61.39,-0.019038975,,
03/05/2021,61.60,0.003414915,,
04/05/2021,62.86,0.020248161,,
05/05/2021,,,,
06/05/2021,62.27,,,
07/05/2021,62.28,0.000160578,,
10/05/2021,62.38,0.001604364,,
11/05/2021,62.43,0.000801218,,
12/05/2021,63.26,0.013207289,,
13/05/2021,,,,
14/05/2021,62.60,,,
